city,school_name,campus_name,campus_address,dining_venue,floor,source_url,source_date,campus_source_url,verification_basis,official_code,review_status,reviewed_at
"福州市","福建农林大学","旗山校区","","第一食堂","一层","https://www.fafu.edu.cn/qsxq/2017/0324/c56a20352/page.htm","2017/2024","https://www.fafu.edu.cn/qsxq/2024/0828/c77a84204/page.htm","2017官方活动明确一号餐厅位于食堂一层，2024官方营业公告确认第一食堂仍在营业；楼层为历史结构证据，需年度复核","4135010389","confirmed_official_source","2026-08-12"
"福州市","福州大学","旗山校区","福建省福州市福州大学城乌龙江北大道2号","北门教工活动中心西餐厅","一楼","https://xwgk.fzu.edu.cn/info/1017/17787.htm","2022-2027","https://zsks.fzu.edu.cn/info/1019/1621.htm","官方采购结果明确校区、建筑一层及西餐厅，服务期五年；按合同周期纳入并标记到期复核","4135010386","confirmed_official_source","2026-08-12"
"福州市","福州大学","旗山校区","福建省福州市福州大学城乌龙江北大道2号","桃李园一楼餐厅","一楼","https://hqc.fzu.edu.cn/info/1032/3247.htm","2026","https://zsks.fzu.edu.cn/info/1019/1621.htm","高校官方页面直接明确校区、餐饮点和楼层","4135010386","confirmed_official_source","2026-08-12"
"哈尔滨市","东北林业大学","主校区","黑龙江省哈尔滨市香坊区和兴路26号","俭德园食堂","一层","https://houqin.nefu.edu.cn/info/1005/2878.htm","2026","https://ghfgb.nefu.edu.cn/info/1155/1091.htm","2026官方公告直接写俭德园食堂一层；与美食城分拆","4123010225","confirmed_official_source","2026-08-12"
"哈尔滨市","东北林业大学","主校区","黑龙江省哈尔滨市香坊区和兴路26号","俭德园食堂美食城","一层、二层","https://houqin.nefu.edu.cn/info/1005/1661.htm","2021-2026","https://ghfgb.nefu.edu.cn/info/1155/1091.htm","官方经营公告明确美食城一至二层，合同可顺延至2026-12-31","4123010225","confirmed_official_source","2026-08-12"
"哈尔滨市","东北林业大学","主校区","黑龙江省哈尔滨市香坊区和兴路26号","颐丰园食堂","三层","https://houqin.nefu.edu.cn/info/1005/2564.htm","2024-2027","https://ghfgb.nefu.edu.cn/info/1155/1091.htm","官方公告明确颐丰园三层，服务期至2027-12-31","4123010225","confirmed_official_source","2026-08-12"
"哈尔滨市","哈尔滨工程大学","哈尔滨校区","黑龙江省哈尔滨市南岗区南通大街145号","快乐食间","一层、二层、三层","https://lg.hrbeu.edu.cn/4846/list.htm","","https://www.hrbeu.edu.cn/xxgk/dxzc.htm","高校官方页面直接明确校区、餐饮点和楼层","4123010217","confirmed_official_source","2026-08-12"
"哈尔滨市","哈尔滨工程大学","哈尔滨校区","黑龙江省哈尔滨市南岗区南通大街145号","美食城","一层至四层","https://lg.hrbeu.edu.cn/4846/list.htm","","https://www.hrbeu.edu.cn/xxgk/dxzc.htm","高校官方页面直接明确校区、餐饮点和楼层","4123010217","confirmed_official_source","2026-08-12"
"哈尔滨市","哈尔滨工程大学","哈尔滨校区","黑龙江省哈尔滨市南岗区南通大街145号","美食广场","一层、二层","https://lg.hrbeu.edu.cn/4846/list.htm","","https://www.hrbeu.edu.cn/xxgk/dxzc.htm","高校官方页面直接明确校区、餐饮点和楼层","4123010217","confirmed_official_source","2026-08-12"
"哈尔滨市","哈尔滨工程大学","哈尔滨校区","黑龙江省哈尔滨市南岗区南通大街145号","至美餐厅","三层","https://lg.hrbeu.edu.cn/4846/list.htm","","https://www.hrbeu.edu.cn/xxgk/dxzc.htm","高校官方页面直接明确校区、餐饮点和楼层","4123010217","confirmed_official_source","2026-08-12"
